Date,Open,High,Low,Close,Adj Close,Volume
2022-06-13,65.779999,66.099998,63.759998,64.050003,62.938168,16547200
2022-06-14,72.000000,72.430000,69.019997,70.720001,69.492386,29661300
2022-06-15,70.449997,71.419998,68.669998,69.699997,68.490089,11765500
2022-06-16,68.500000,68.959999,67.580002,68.709999,67.517265,10686000
2022-06-17,68.750000,69.370003,67.389999,67.720001,66.544449,16445600
2022-06-21,68.610001,69.529999,67.389999,67.680000,66.505150,10047700
2022-06-22,66.930000,67.570000,66.379997,66.529999,65.375114,8219900
2022-06-23,66.449997,67.870003,66.309998,67.629997,66.456017,8775800
2022-06-24,68.330002,70.779999,67.970001,70.699997,69.472717,20132600
2022-06-27,69.370003,70.849998,68.940002,70.410004,69.187759,8840600
2022-06-28,70.570000,71.070000,68.529999,68.580002,67.389526,7252100
2022-06-29,69.029999,70.089996,68.779999,69.209999,68.008583,8077900
2022-06-30,68.209999,70.250000,68.209999,69.870003,68.657135,9888600
2022-07-01,69.849998,70.980003,69.809998,70.870003,69.639778,7805600
2022-07-05,70.379997,72.000000,70.180000,71.989998,70.740326,9040400
2022-07-06,72.320000,72.739998,71.309998,71.660004,70.416069,6043700
2022-07-07,71.830002,71.980003,71.180000,71.830002,70.583107,7814500
2022-07-08,71.690002,72.239998,71.330002,71.870003,70.622414,4927300
2022-07-11,71.000000,71.970001,70.900002,71.570000,70.642151,4543300
2022-07-12,71.599998,71.940002,70.070000,70.410004,69.497192,7140800
2022-07-13,69.050003,70.529999,68.680000,70.029999,69.122124,6454800
2022-07-14,69.160004,69.580002,68.230003,69.449997,68.549637,4915500
2022-07-15,70.260002,70.870003,70.000000,70.739998,69.822914,5134100
2022-07-18,71.250000,71.709999,70.150002,70.209999,69.299782,4642300
2022-07-19,70.639999,72.300003,70.260002,72.239998,71.303467,7160300
2022-07-20,72.550003,73.099998,72.160004,72.589996,71.648926,5655700
2022-07-21,72.150002,74.629997,72.129997,74.540001,73.573654,7005100
2022-07-22,74.820000,75.290001,74.260002,74.900002,73.928986,6659800
2022-07-25,75.099998,75.430000,74.339996,74.860001,73.889503,5721600
2022-07-26,74.800003,75.300003,73.709999,74.029999,73.070259,7284400
